CL,Tau_in,Rise Time,Fall Time,t_HL,t_LH
5.000000e-15,6.000000e-11,1.295000e-10,1.250000e-10,1.030000e-10,8.000000e-11
5.000000e-15,7.000000e-11,1.340000e-10,1.295000e-10,1.075000e-10,8.400000e-11
5.000000e-15,8.000000e-11,1.385000e-10,1.335000e-10,1.110000e-10,8.750000e-11
5.000000e-15,9.000000e-11,1.425000e-10,1.380000e-10,1.145000e-10,9.100000e-11
5.000000e-15,1.000000e-10,1.470000e-10,1.420000e-10,1.180000e-10,9.450000e-11
5.000000e-15,1.100000e-10,1.515000e-10,1.460000e-10,1.210000e-10,9.700000e-11
5.000000e-15,1.200000e-10,1.555000e-10,1.505000e-10,1.235000e-10,1.005000e-10
5.000000e-15,1.300000e-10,1.595000e-10,1.550000e-10,1.265000e-10,1.030000e-10
5.000000e-15,1.400000e-10,1.635000e-10,1.590000e-10,1.285000e-10,1.055000e-10
5.000000e-15,1.500000e-10,1.675000e-10,1.625000e-10,1.315000e-10,1.085000e-10
5.000000e-15,1.600000e-10,1.710000e-10,1.665000e-10,1.335000e-10,1.110000e-10
5.000000e-15,1.700000e-10,1.755000e-10,1.705000e-10,1.360000e-10,1.135000e-10
5.000000e-15,1.800000e-10,1.790000e-10,1.740000e-10,1.385000e-10,1.160000e-10
5.000000e-15,1.900000e-10,1.830000e-10,1.775000e-10,1.405000e-10,1.185000e-10
5.000000e-15,2.000000e-10,1.875000e-10,1.815000e-10,1.430000e-10,1.205000e-10
5.000000e-15,2.100000e-10,1.910000e-10,1.850000e-10,1.450000e-10,1.235000e-10
5.000000e-15,2.200000e-10,1.950000e-10,1.890000e-10,1.470000e-10,1.255000e-10
5.000000e-15,2.300000e-10,1.990000e-10,1.925000e-10,1.485000e-10,1.275000e-10
5.000000e-15,2.400000e-10,2.030000e-10,1.965000e-10,1.505000e-10,1.295000e-10
5.000000e-15,2.500000e-10,2.070000e-10,2.000000e-10,1.525000e-10,1.320000e-10
5.000000e-15,2.600000e-10,2.110000e-10,2.040000e-10,1.545000e-10,1.340000e-10
5.000000e-15,2.700000e-10,2.150000e-10,2.080000e-10,1.560000e-10,1.360000e-10
5.000000e-15,2.800000e-10,2.185000e-10,2.115000e-10,1.580000e-10,1.380000e-10
5.000000e-15,2.900000e-10,2.225000e-10,2.155000e-10,1.595000e-10,1.400000e-10
5.000000e-15,3.000000e-10,2.265000e-10,2.190000e-10,1.615000e-10,1.420000e-10
5.000000e-15,3.100000e-10,2.310000e-10,2.230000e-10,1.630000e-10,1.440000e-10
5.000000e-15,3.200000e-10,2.350000e-10,2.265000e-10,1.650000e-10,1.460000e-10
5.000000e-15,3.300000e-10,2.390000e-10,2.305000e-10,1.665000e-10,1.475000e-10
5.000000e-15,3.400000e-10,2.430000e-10,2.350000e-10,1.680000e-10,1.495000e-10
5.000000e-15,3.500000e-10,2.465000e-10,2.380000e-10,1.700000e-10,1.515000e-10
5.000000e-15,3.600000e-10,2.505000e-10,2.420000e-10,1.710000e-10,1.530000e-10
5.000000e-15,3.700000e-10,2.545000e-10,2.460000e-10,1.725000e-10,1.545000e-10
5.000000e-15,3.800000e-10,2.580000e-10,2.500000e-10,1.740000e-10,1.565000e-10
5.000000e-15,3.900000e-10,2.625000e-10,2.535000e-10,1.755000e-10,1.580000e-10
5.000000e-15,4.000000e-10,2.665000e-10,2.575000e-10,1.775000e-10,1.600000e-10
5.000000e-15,4.100000e-10,2.700000e-10,2.615000e-10,1.785000e-10,1.620000e-10
5.000000e-15,4.200000e-10,2.740000e-10,2.655000e-10,1.800000e-10,1.635000e-10
5.000000e-15,4.300000e-10,2.780000e-10,2.685000e-10,1.815000e-10,1.650000e-10
5.000000e-15,4.400000e-10,2.820000e-10,2.725000e-10,1.825000e-10,1.665000e-10
5.000000e-15,4.500000e-10,2.855000e-10,2.765000e-10,1.840000e-10,1.685000e-10
5.000000e-15,4.600000e-10,2.895000e-10,2.800000e-10,1.855000e-10,1.700000e-10
5.000000e-15,4.700000e-10,2.935000e-10,2.840000e-10,1.870000e-10,1.715000e-10
5.000000e-15,4.800000e-10,2.970000e-10,2.880000e-10,1.880000e-10,1.730000e-10
5.000000e-15,4.900000e-10,3.010000e-10,2.915000e-10,1.895000e-10,1.745000e-10
6.000000e-15,1.000000e-11,1.185000e-10,1.225000e-10,8.750000e-11,6.000000e-11
6.000000e-15,2.000000e-11,1.220000e-10,1.245000e-10,9.250000e-11,6.650000e-11
6.000000e-15,3.000000e-11,1.265000e-10,1.270000e-10,9.750000e-11,7.200000e-11
6.000000e-15,4.000000e-11,1.315000e-10,1.300000e-10,1.020000e-10,7.750000e-11
6.000000e-15,5.000000e-11,1.360000e-10,1.335000e-10,1.065000e-10,8.200000e-11
6.000000e-15,6.000000e-11,1.405000e-10,1.375000e-10,1.110000e-10,8.650000e-11
6.000000e-15,7.000000e-11,1.455000e-10,1.420000e-10,1.150000e-10,9.050000e-11
6.000000e-15,8.000000e-11,1.500000e-10,1.460000e-10,1.190000e-10,9.450000e-11
6.000000e-15,9.000000e-11,1.545000e-10,1.505000e-10,1.230000e-10,9.750000e-11
6.000000e-15,1.000000e-10,1.590000e-10,1.550000e-10,1.265000e-10,1.015000e-10
6.000000e-15,1.100000e-10,1.635000e-10,1.595000e-10,1.300000e-10,1.045000e-10
6.000000e-15,1.200000e-10,1.670000e-10,1.635000e-10,1.330000e-10,1.075000e-10
6.000000e-15,1.300000e-10,1.715000e-10,1.680000e-10,1.355000e-10,1.105000e-10
